ID,Track,Program,Project Name,Description,Sector,Location,Lead Organisation,Financial Instrument,Funding Source (raw),Partners,Capital (AUD m),Start Year,End Year,Phase,Status,Funding Outcome,Hazard Group,Duplicate Status,Duplicate Of,Notes
C11,Commonwealth Tracker (Past),,Pacific Adaptation to Climate Change (PACC) Project,,Climate Change (General),TBC,TBC,Grant,Global Environment Facility (GEF),Global Environment Facility (GEF),1.2,2009,2014,,Completed,Funded,General climate resilience,,,Sectoral theme as recorded in source: Climate change
C12,Commonwealth Tracker (Past),,Pacific Islands Renewable Energy Programme (PIREP)– (to support 14 pacific countries including Nauru),,Climate Change (General),TBC,TBC,Grant,Global Environment Facility (GEF),Global Environment Facility (GEF),0.7,2002,2010,,Completed,Funded,General climate resilience,,,Sectoral theme as recorded in source: Climate change
C13,Commonwealth Tracker (Past),,Expedited Financing of Climate Change Enabling Activities (Phase II) – PICCAP,,Climate Change (General),TBC,TBC,Grant,Global Environment Facility (GEF),Global Environment Facility (GEF),1.52,2000,2000,,Completed,Funded,General climate resilience,,,Sectoral theme as recorded in source: Climate change
C14,Commonwealth Tracker (Past),,Pacific Islands Climate Change Assistance Project (PICCAP) (to support 10 Pacific countries including Nauru),,Climate Change (General),TBC,TBC,Grant,Global Environment Facility (GEF),Global Environment Facility (GEF),3.72,1997,2006,,Completed,Funded,General climate resilience,,,Sectoral theme as recorded in source: Climate change
C15,Commonwealth Tracker (Past),,Climate Change Training Phase II – Training Programme to Support the Implementation of the UNFCCC,,Climate Change (General),TBC,TBC,Grant,Global Environment Facility (GEF),Global Environment Facility (GEF),4.11,1996,2004,,Completed,Funded,General climate resilience,,,Sectoral theme as recorded in source: Climate change
C16,Commonwealth Tracker (Past),,NDA Strengthening and Country Programming support for Nauru through the Pacific Island Forum Secretariat (PIFS),,Governance & Finance,TBC,TBC,Grant,Green Climate Fund (GCF),Green Climate Fund (GCF),0.76,2017,2018,,Completed,Funded,Enabling & capacity (cross-hazard),,,Sectoral theme as recorded in source: Readiness activities (capacity building)
C17,Commonwealth Tracker (Past),,Republic of Nauru National Adaptation Planning – Phase One,,Governance & Finance,TBC,TBC,Grant,Green Climate Fund (GCF),Green Climate Fund (GCF),1.97,2021,2023,,Completed,Funded,Enabling & capacity (cross-hazard),,,Sectoral theme as recorded in source: Readiness activities (adaptation planning)
C18,Commonwealth Tracker (Past),,Nauru Readiness II – Strengthening NDA capacities and DAE access,,Governance & Finance,TBC,TBC,Grant,Green Climate Fund (GCF),Green Climate Fund (GCF),1.01,2021,2023,,Completed,Funded,Enabling & capacity (cross-hazard),,,Sectoral theme as recorded in source: Readiness activities (capacity building)
C19,Commonwealth Tracker (Past),,Sustainable and Climate Resilient Connectivity for Nauru,,Multi-Sector,TBC,TBC,Grant,Green Climate Fund (GCF),Green Climate Fund (GCF),98.68,2017,2023,,Completed,Funded,General climate resilience,,,Sectoral theme as recorded in source: Cross-cutting
C20,Commonwealth Tracker (Past),,Pacific Islands Renewable Energy Investment Programme (Regional Project),,Climate Change (General),TBC,TBC,Grant,Green Climate Fund (GCF),Green Climate Fund (GCF),44.2,2016,2023,,Completed,Funded,General climate resilience,,,Sectoral theme as recorded in source: Climate change mitigation
C21,Commonwealth Tracker (Past),,Resilient Coastal Fisheries and Aquaculture in Nauru,,Agriculture & Food,TBC,TBC,Grant,Adaptation Fund (AF),Adaptation Fund (AF),7.99,2023,2029,,Under implementation,Funded,Food insecurity,,,Sectoral theme as recorded in source: Food security
C22,Commonwealth Tracker (Past),,Solar Power Development Project,,Energy,TBC,TBC,Grant,Asian Development Bank (ADB),Asian Development Bank (ADB),22.0,2023,2024,,Completed,Funded,Energy & fuel security,,,Sectoral theme as recorded in source: Energy/renewable energy generation – solar
C23,Commonwealth Tracker (Past),,Nauru: Sustainable and Climate-Resilient Connectivity Project,,Transport & Infrastructure,TBC,TBC,Grant,Asian Development Bank (ADB),Asian Development Bank (ADB),21.3,2015,2023,,Completed,Funded,Multi-hazard preparedness,,,Sectoral theme as recorded in source: Transport/water transport (non-urban)
C24,Commonwealth Tracker (Past),,Preparing the Nauru Sustainable Urban Development Project (Project Readiness Financing),,Governance & Finance,TBC,TBC,Grant,Asian Development Bank (ADB),Asian Development Bank (ADB),1.5,2022,2023,,Completed,Funded,Enabling & capacity (cross-hazard),,,Sectoral theme as recorded in source: Project readiness
C25,Commonwealth Tracker (Past),,Nauru Sustainable Urban Development Project (NSUDP),,Water & Sanitation,TBC,TBC,Grant,Asian Development Bank (ADB),Asian Development Bank (ADB),5.0,2021,2026,,Under implementation,Funded,Drought & water security,,,Sectoral theme as recorded in source: Water and other urban infrastructure and services
C26,Commonwealth Tracker (Past),,Promoting Climate-Resilient and Sustainable Blue Economies,,Transport & Infrastructure,TBC,TBC,Grant,Asian Development Bank (ADB),Asian Development Bank (ADB),2.68,2023,2026,,Under implementation,Funded,Multi-hazard preparedness,,,Sectoral theme as recorded in source: Transport/water transport (non-urban)
C27,Commonwealth Tracker (Past),,Green and Resilient Rural Recovery through Agri-Food System Transformation in the Asia and Pacific Region,,Multi-Sector,TBC,TBC,Technical assistance,Asian Development Bank (ADB),Asian Development Bank (ADB),2.75,2021,2024,,Completed,Funded,General climate resilience,,,Sectoral theme as recorded in source: Multi-sectors
C28,Commonwealth Tracker (Past),,Regional: Preparing Floating Solar Plus Projects under the Pacific Renewable Energy Investment Facility,,Energy,TBC,TBC,Technical assistance,Asian Development Bank (ADB),Asian Development Bank (ADB),3.5,2020,2024,,Completed,Funded,Energy & fuel security,,,Sectoral theme as recorded in source: Energy
C29,Commonwealth Tracker (Past),,Regional: Support to Climate Resilient Investment Pathways in the Pacific,,Multi-Sector,TBC,TBC,Grant,Asian Development Bank (ADB),Asian Development Bank (ADB),4.0,2020,2025,,Completed,Funded,General climate resilience,,,Sectoral theme as recorded in source: Multi-sectors
C30,Commonwealth Tracker (Past),,Regional: Preparing the Pacific Renewable Energy Investment Facility (Phase 2),,Energy,TBC,TBC,Technical assistance,Asian Development Bank (ADB),Asian Development Bank (ADB),3.5,2019,2024,,Completed,Funded,Energy & fuel security,,,Sectoral theme as recorded in source: Energy
C31,Commonwealth Tracker (Past),,Regional Capacity Building and Sector Reform for Renewable Energy Investments in the Pacific,,Multi-Sector,TBC,TBC,Technical assistance,Asian Development Bank (ADB),Asian Development Bank (ADB),1.22,2017,2024,,Completed,Funded,General climate resilience,,,Sectoral theme as recorded in source: Multi-sectors
C32,Commonwealth Tracker (Past),,Regional: Pacific Renewable Energy Investment Facility (formerly Pacific Renewable Energy and Energy Efficiency Investment Facility),,Energy,TBC,TBC,Grant loan,Asian Development Bank (ADB),Asian Development Bank (ADB),200.0,2005,2008,,Completed,Funded,Energy & fuel security,,,Sectoral theme as recorded in source: Energy
C33,Commonwealth Tracker (Past),,Regional Strengthening Climate and Disaster Resilience of Investments in the Pacific,,Multi-Sector,TBC,TBC,Technical assistance,Asian Development Bank (ADB),Asian Development Bank (ADB),3.95,2015,2021,,Completed,Funded,General climate resilience,,,Sectoral theme as recorded in source: Multi-sectors
C34,Commonwealth Tracker (Past),,Regional: Solid Waste Management in the Pacific,,Water & Sanitation,TBC,TBC,Technical assistance,Asian Development Bank (ADB),Asian Development Bank (ADB),0.45,2011,2014,,Completed,Funded,Drought & water security,,,Sectoral theme as recorded in source: Water and other urban infrastructure and services/urban solid waste management
C35,Commonwealth Tracker (Past),,EU replacement of current steels light with energy efficient units project,,Energy,TBC,TBC,Grant,European Union (EU),European Union (EU),0.049,2012,2013,,Completed,Funded,Energy & fuel security,,,Sectoral theme as recorded in source: Energy
C36,Commonwealth Tracker (Past),,11th EDF National Indicative Plan – Support in Energy Efficiency and Renewable Energy and NAO Office support,,Energy,TBC,TBC,Grant,European Union (EU),European Union (EU),0.47,2020,2021,,Completed,Funded,Energy & fuel security,,,Sectoral theme as recorded in source: Energy
C37,Commonwealth Tracker (Past),,The Global Climate Change Alliance: Pacific Small Islands States Project,,Water & Sanitation,TBC,TBC,Grant,European Union (EU),European Union (EU),0.5,2012,2014,,Completed,Funded,Drought & water security,,,Sectoral theme as recorded in source: Water
C38,Commonwealth Tracker (Past),,Renewable Energy and Energy Efficiency Programme,,Energy,TBC,TBC,Grant,European Union (EU),European Union (EU),3.91,2012,2014,,Completed,Funded,Energy & fuel security,,,Sectoral theme as recorded in source: Energy
C39,Commonwealth Tracker (Past),,Disaster Risk Management (DRM) Program – Regional Project,,Disaster Risk Reduction,TBC,TBC,Grant,European Union (EU),European Union (EU),0.74,2012,,,"Ongoing, no end date recorded",Funded,Multi-hazard preparedness,,,Sectoral theme as recorded in source: DRM
C40,Commonwealth Tracker (Past),,Nauru College Photovoltaic Project,,Energy,TBC,TBC,Grant,European Union (EU),European Union (EU),0.37,2007,2009,,Completed,Funded,Energy & fuel security,,,Sectoral theme as recorded in source: Energy
C41,Commonwealth Tracker (Past),,Nauru Energy Efficiency Action Plan,,Energy,TBC,TBC,Grant,European Union (EU),European Union (EU),0.18,2007,2010,,Completed,Funded,Energy & fuel security,,,Sectoral theme as recorded in source: Energy
C42,Commonwealth Tracker (Past),,Energy Efficiency Project,,Energy,TBC,TBC,Grant,European Union (EU),European Union (EU),1.42,2007,2010,,Completed,Funded,Energy & fuel security,,,Sectoral theme as recorded in source: Energy
C43,Commonwealth Tracker (Past),,University of South Pacific–EU Global Climate Alliance Project,,Multi-Sector,TBC,TBC,Grant,European Union (EU),European Union (EU),9.98,2010,2014,,Completed,Funded,General climate resilience,,,Sectoral theme as recorded in source: Multi-sector
C44,Commonwealth Tracker (Past),,The Global Climate Change Alliance Plus – Scaling up Pacific Adaptation (GCCA+ SUPA),,Water & Sanitation,TBC,TBC,Grant,European Union (EU),European Union (EU),0.3,2019,2023,,Completed,Funded,Drought & water security,,,Sectoral theme as recorded in source: Water sector
C45,Commonwealth Tracker (Past),,Household Water Tanks,,Water & Sanitation,TBC,TBC,Grant,Government of Italy,Government of Italy,0.0057,2020,2021,,Completed,Funded,Drought & water security,,,Sectoral theme as recorded in source: Water
C46,Commonwealth Tracker (Past),,US Atmospheric Radiation Measurement Programme,,Multi-Sector,TBC,TBC,Grant,USA Government,USA Government,0.22,2012,2013,,Completed,Funded,General climate resilience,,,Sectoral theme as recorded in source: Multi-sector
C47,Commonwealth Tracker (Past),,SPC/GIZ–Coping with Climate Change in the Pacific Island Region,,Multi-Sector,TBC,TBC,Grant,Government of Germany,Government of Germany,0.312,2012,2015,,Completed,Funded,General climate resilience,,,Sectoral theme as recorded in source: Multi-sector
C48,Commonwealth Tracker (Past),,National Climate Change Policy JNAP & Nauru Energy Roadmap,,Multi-Sector,TBC,TBC,Grant,Government of Germany,Government of Germany,0.06,2012,2012,,Completed,Funded,General climate resilience,,,Sectoral theme as recorded in source: Multi-sector
C49,Commonwealth Tracker (Past),,Grant Assistance for Grassroots Human Security Project (GGP) – Phase-I,,Water & Sanitation,TBC,TBC,Grant,Government of Japan,Government of Japan,0.192,2010,2011,,Completed,Funded,Drought & water security,,,Sectoral theme as recorded in source: Water
C50,Commonwealth Tracker (Past),,Grant Assistance for Grassroots Human Security Project (GGP) – Phase-II,,Water & Sanitation,TBC,TBC,Grant,Government of Japan,Government of Japan,0.28,2011,2012,,Completed,Funded,Drought & water security,,,Sectoral theme as recorded in source: Water
C51,Commonwealth Tracker (Past),,Pacific Environment Community Fund Project for Nauru,,Energy,TBC,TBC,Grant,Government of Japan,Government of Japan,3.85,2012,2012,,Completed,Funded,Energy & fuel security,,,"Sectoral theme as recorded in source: Energy, water"
C52,Commonwealth Tracker (Past),,Grant Assistance for Grassroots Human Security Project (GGP),,Water & Sanitation,TBC,TBC,Grant,Government of Japan,Government of Japan,0.096,2013,2014,,Completed,Funded,Drought & water security,,,Sectoral theme as recorded in source: Water
C53,Commonwealth Tracker (Past),,Sustainable and Climate Resilient Connectivity Project,,Climate Change (General),TBC,TBC,Grant,Government of Australia,Government of Australia,14.7,2020,2021,,Completed,Funded,General climate resilience,,,Sectoral theme as recorded in source: Climate change
C54,Commonwealth Tracker (Past),,AusAID supported Project for Household Water Tank,,Water & Sanitation,TBC,TBC,Grant,Government of Australia,Government of Australia,1.2,2012,2012,,Completed,Funded,Drought & water security,,,Sectoral theme as recorded in source: Water
C55,Commonwealth Tracker (Past),,Climate Change Financing National Case Study,,Multi-Sector,TBC,TBC,Grant,Government of Australia,Government of Australia,0.15,2012,2013,,Completed,Funded,General climate resilience,,,Sectoral theme as recorded in source: Multi-sector
C56,Commonwealth Tracker (Past),,"Environment Resource Adviser for Nauru Department of Commerce, Industry and Environment (DCIE)",,Multi-Sector,TBC,TBC,Grant,Government of Australia,Government of Australia,0.3,2012,2014,,Completed,Funded,General climate resilience,,,Sectoral theme as recorded in source: Multi-sector
C57,Commonwealth Tracker (Past),,Nauru Coastal Protection Immediate Response Project,,Coastal & Marine,TBC,TBC,Grant,Government of Australia,Government of Australia,0.5,2012,2012,,Completed,Funded,Coastal erosion & sea-level rise,,,Sectoral theme as recorded in source: Coastal protection
C58,Commonwealth Tracker (Past),,International Climate Change Adaptation Initiative Phase II,,Agriculture & Food,TBC,TBC,Grant,Government of Australia,Government of Australia,0.35,2011,2013,,Completed,Funded,Food insecurity,,,Sectoral theme as recorded in source: Agriculture and food security
C59,Commonwealth Tracker (Past),,Pacific–Australian Climate Change Science and Adaptation Planning Project,,Multi-Sector,TBC,TBC,Grant,Government of Australia,Government of Australia,32.0,2012,2013,,Completed,Funded,General climate resilience,,,Sectoral theme as recorded in source: Multi-sector
C60,Commonwealth Tracker (Past),,Pacific Climate Change Science Programme,,Multi-Sector,TBC,TBC,Grant,Government of Australia,Government of Australia,20.0,2009,2012,,Completed,Funded,General climate resilience,,,Sectoral theme as recorded in source: Multi-sector
C61,Commonwealth Tracker (Past),,Climate and Oceans Support Program in the Pacific,,Multi-Sector,TBC,TBC,Grant,Government of Australia,Government of Australia,32.0,2012,2016,,Completed,Funded,General climate resilience,,,Sectoral theme as recorded in source: Multi-sector
C62,Commonwealth Tracker (Past),,Pacific Adaptation Strategy Assistance Program,,Multi-Sector,TBC,TBC,Grant,Government of Australia,Government of Australia,12.0,2009,2012,,Completed,Funded,General climate resilience,,,Sectoral theme as recorded in source: Multi-sector
C63,Commonwealth Tracker (Past),,Pacific Islands Renewable Energy Project,,Multi-Sector,TBC,TBC,Grant,Government of Australia,Government of Australia,0.7,2003,2007,,Completed,Funded,General climate resilience,,,Sectoral theme as recorded in source: Multi-sector
C64,Commonwealth Tracker (Past),,South Pacific Sea Level and Climate Monitoring Project Phase IV,,Multi-Sector,TBC,TBC,Grant,Government of Australia,Government of Australia,16.0,2005,2016,,Completed,Funded,General climate resilience,,,Sectoral theme as recorded in source: Multi-sector
C65,Commonwealth Tracker (Past),,Nauru Energy Efficiency,,Energy,TBC,TBC,Grant,Government of New Zealand,Government of New Zealand,0.61,2023,2024,,Completed,Funded,Energy & fuel security,,,Sectoral theme as recorded in source: Energy
C66,Commonwealth Tracker (Past),,Nauru Renewable Energy Initiative,,Energy,TBC,TBC,Grant,Government of New Zealand,Government of New Zealand,3.79,2020,2023,,Completed,Funded,Energy & fuel security,,,Sectoral theme as recorded in source: Energy
C67,Commonwealth Tracker (Past),,GEF/NZAID Small Grants Programme,,Water & Sanitation,TBC,TBC,Grant,Government of New Zealand,Government of New Zealand,1.88,2007,2011,,Completed,Funded,Drought & water security,,,"Sectoral theme as recorded in source: Water, energy"
C68,Commonwealth Tracker (Past),,Climate Change Fund,,Climate Change (General),TBC,TBC,Grant,Taiwan,Taiwan,1.49,2023,2024,,Completed,Funded,General climate resilience,,,Sectoral theme as recorded in source: Climate change
C69,Commonwealth Tracker (Past),,Solar Power Panels,,Energy,TBC,TBC,Grants,Taiwan,Taiwan,2.63,2020,2024,,Completed,Funded,Energy & fuel security,,,Sectoral theme as recorded in source: Renewable energy and climate change
C70,Commonwealth Tracker (Past),,Taiwan supported additional 15.84 kW of solar photovoltaic,,Energy,TBC,TBC,Grant,Taiwan,Taiwan,0.96,2012,2012,,Completed,Funded,Energy & fuel security,,,Sectoral theme as recorded in source: Energy
C71,Commonwealth Tracker (Past),,Nauru Energy Project,,Energy,TBC,TBC,Grant,Taiwan,Taiwan,0.6,2012,2012,,Completed,Funded,Energy & fuel security,,,Sectoral theme as recorded in source: Energy
C72,Commonwealth Tracker (Past),,Solar Distillation,,Energy,TBC,TBC,Grant,Canada,Canada,0.054,2021,2022,,Completed,Funded,Energy & fuel security,,,Sectoral theme as recorded in source: Renewable energy
C73,Commonwealth Tracker (Past),,Pacific Islands Energy Policy and Strategic Action Planning,,Multi-Sector,TBC,TBC,Grant,Government of Denmark,Government of Denmark,2.0,2004,2008,,Completed,Funded,General climate resilience,,,Sectoral theme as recorded in source: Multi-sector
C74,Commonwealth Tracker (Past),,ITU – Enhanced capacity on ICT and Climate Change and E-WASTE management,,Multi-Sector,TBC,TBC,Grant,United Nations (UN),United Nations (UN),0.022,2023,2024,,Completed,Funded,General climate resilience,,,Sectoral theme as recorded in source: Multi-sector
C75,Commonwealth Tracker (Past),,UNESCO – Strengthened NTWC and NDMO capacity to effectively warn people and 100% tsunami at-risk communities to be officially recognised tsunami ready by 2030,,Disaster Risk Reduction,TBC,TBC,Grant,United Nations (UN),United Nations (UN),0.044,2023,2024,,Completed,Funded,Multi-hazard preparedness,,,Sectoral theme as recorded in source: DRR
C76,Commonwealth Tracker (Past),,WFP– Strengthened national capacities to prepare and respond to climate change and other shocks that affect food security and nutrition through better data collection and analysis to conduct vulnerability and post-disaster assessments (including using GIS mapping),,Multi-Sector,TBC,TBC,Grant,United Nations (UN),United Nations (UN),0.17,2023,2024,,Completed,Funded,General climate resilience,,,Sectoral theme as recorded in source: Multi-sector
C77,Commonwealth Tracker (Past),,UNEP Ozone Depleting Substances,,Multi-Sector,TBC,TBC,Grant,United Nations (UN),United Nations (UN),0.063,2012,2013,,Completed,Funded,General climate resilience,,,Sectoral theme as recorded in source: Multi-sector
C78,Commonwealth Tracker (Past),,UNEP – Ecosystem Restoration and Sustainable Land Management and Preparation and implementation of HCFC phase-out management,,Multi-Sector,TBC,TBC,Grant,United Nations (UN),United Nations (UN),0.636,2022,2023,,Completed,Funded,General climate resilience,,,Sectoral theme as recorded in source: Multi-sector
C79,Commonwealth Tracker (Past),,Nauru Integrated Water Resource Management,,Water & Sanitation,TBC,TBC,Grant,United Nations (UN),United Nations (UN),1.2,2009,2013,,Completed,Funded,Drought & water security,,,Sectoral theme as recorded in source: Water
C80,Commonwealth Tracker (Past),,UNDP – Supporting Mainstreamed Achievement of Roadmap Targets on Energy in Nauru (SMARTEN),,Energy,TBC,TBC,Grant,United Nations (UN),United Nations (UN),5.32,2020,2024,,Completed,Funded,Energy & fuel security,,,Sectoral theme as recorded in source: Energy and climate change
C81,Commonwealth Tracker (Past),,Ridge to Reef Program,,Environment & Biodiversity,TBC,TBC,Grant,United Nations (UN),United Nations (UN),0.774,2015,2022,,Completed,Funded,Land & marine environment,,,Sectoral theme as recorded in source: Biodiversity and ecosystem protection
C82,Commonwealth Tracker (Past),,"PAS: Low Carbon-Energy Islands – Accelerating the Use of Energy Efficient and Renewable Energy Technologies in Tuvalu, Niue and Nauru",,Climate Change (General),TBC,TBC,Grant,International Union for Conservation of Nature (IUCN),International Union for Conservation of Nature (IUCN),1.29,2013,2021,,Completed,Funded,General climate resilience,,,Sectoral theme as recorded in source: Climate change mitigation
C83,Commonwealth Tracker (Past),,Integrated Water Management GCCA + SUPA,,Climate Change (General),TBC,TBC,Grant,Secretariat for the Pacific Community (SPC),Secretariat for the Pacific Community (SPC),0.998,2019,2023,,Completed,Funded,General climate resilience,,,Sectoral theme as recorded in source: Climate change adaptation
C84,Commonwealth Tracker (Past),,IUCN GEFPAS Low Carbon Islands Project,,Climate Change (General),TBC,TBC,Grant,Secretariat for the Pacific Community (SPC),Secretariat for the Pacific Community (SPC),0.08,2015,2015,,Completed,Funded,General climate resilience,,,Sectoral theme as recorded in source: Climate change
C85,Commonwealth Tracker (Past),,FAO Food Security Program,,Agriculture & Food,TBC,TBC,Grant,Food and Agriculture Organization of the United Nations (FAO),Food and Agriculture Organization of the United Nations (FAO),0.034,2012,2013,,Completed,Funded,Food insecurity,,,Sectoral theme as recorded in source: Food security
R001,RONAdapt II Pipeline (Future),Sustainable Milkfish Aquaculture Development and Capacity Enhancement Programme,"Hatchery Expansion & Juvenile Production (upgrade capacity, tanks, pumps, broodstock management, renewable energy upgrades)",,Fisheries & Aquaculture,TBC,TBC,TBC,"DFAT/MFAT, FAO, ADB, JICA","DFAT/MFAT, FAO, ADB, JICA",0.4,2025,2030,Phase 1 (Near-term),Proposed,Unspecified,Food insecurity,,,
R002,RONAdapt II Pipeline (Future),Sustainable Milkfish Aquaculture Development and Capacity Enhancement Programme,"Buada Lagoon Sediment Removal & Pond Preparation (dredging, aeration, water quality improvement, expanded vegetation restoration)",,Fisheries & Aquaculture,TBC,TBC,TBC,"GCF Small Grants, SPREP, EU, UNEP, RON Gov","GCF Small Grants, SPREP, EU, UNEP, RON Gov",0.325,2025,2030,Phase 1 (Near-term),Proposed,Unspecified,Food insecurity,,,
R003,RONAdapt II Pipeline (Future),Sustainable Milkfish Aquaculture Development and Capacity Enhancement Programme,"Transport & Grow-out Systems (boats, tanks, aerators, feed systems)",,Fisheries & Aquaculture,TBC,TBC,TBC,"FAO, SPC, Private Sector","FAO, SPC, Private Sector",0.15,2025,2030,Phase 1 (Near-term),Proposed,Unspecified,Food insecurity,,,
R004,RONAdapt II Pipeline (Future),Sustainable Milkfish Aquaculture Development and Capacity Enhancement Programme,Leaseholder Training & Capacity Building (including disability-inclusive and youth training),,Fisheries & Aquaculture,TBC,TBC,TBC,"GIZ, SPC Land Resources Division, UNDP","GIZ, SPC Land Resources Division, UNDP",0.125,2025,2030,Phase 1 (Near-term),Proposed,Unspecified,Food insecurity,,,
R005,RONAdapt II Pipeline (Future),Sustainable Milkfish Aquaculture Development and Capacity Enhancement Programme,Capacity building and awareness of traditional methods of farming milkfish,,Fisheries & Aquaculture,TBC,TBC,TBC,"DFAT/MFAT, FAO, ADB, JICA","DFAT/MFAT, FAO, ADB, JICA",0.1,2025,2030,Phase 1 (Near-term),Proposed,Unspecified,Food insecurity,,,
R006,RONAdapt II Pipeline (Future),Sustainable Milkfish Aquaculture Development and Capacity Enhancement Programme,"Monitoring, Biosecurity & EIA Compliance (5-year plan)",,Fisheries & Aquaculture,TBC,TBC,TBC,"SPREP, RON Gov, GCF","SPREP, RON Gov, GCF",0.1,2025,2030,Phase 1 (Near-term),Proposed,Unspecified,Food insecurity,,,
R007,RONAdapt II Pipeline (Future),Sustainable Milkfish Aquaculture Development and Capacity Enhancement Programme,Contingency (15% of sub-total) – Price & logistics risk,,Fisheries & Aquaculture,TBC,TBC,TBC,"RON Gov Co-finance, Donor Overheads","RON Gov Co-finance, Donor Overheads",0.146,2025,2030,Phase 1 (Near-term),Proposed,Unspecified,Food insecurity,,,
R008,RONAdapt II Pipeline (Future),Sustainable Milkfish Aquaculture Development and Capacity Enhancement Programme,Hatchery expansion & renewable energy integration,,Fisheries & Aquaculture,TBC,TBC,TBC,"DFAT/MFAT, GCF, IFAD","DFAT/MFAT, GCF, IFAD",1.2,2027,2035,Phase 2 (Medium-term),Proposed,Unspecified,Food insecurity,,,
R009,RONAdapt II Pipeline (Future),Sustainable Milkfish Aquaculture Development and Capacity Enhancement Programme,Grow-out Pond construction (5–7 new ponds),,Fisheries & Aquaculture,TBC,TBC,TBC,"EU, FAO, SPC","EU, FAO, SPC",1.0,2027,2035,Phase 2 (Medium-term),Proposed,Unspecified,Food insecurity,,,
R010,RONAdapt II Pipeline (Future),Sustainable Milkfish Aquaculture Development and Capacity Enhancement Programme,Feed production facility,,Fisheries & Aquaculture,TBC,TBC,TBC,"FAO, Private Sector","FAO, Private Sector",0.5,2027,2035,Phase 2 (Medium-term),Proposed,Unspecified,Food insecurity,,,
R011,RONAdapt II Pipeline (Future),Sustainable Milkfish Aquaculture Development and Capacity Enhancement Programme,Training centre development,,Fisheries & Aquaculture,TBC,TBC,TBC,"SPC, FAO, UNDP","SPC, FAO, UNDP",0.6,2027,2035,Phase 2 (Medium-term),Proposed,Unspecified,Food insecurity,,,
