ID,Track,Program,Project Name,Description,Sector,Location,Lead Organisation,Financial Instrument,Funding Source (raw),Partners,Capital (AUD m),Start Year,End Year,Phase,Status,Funding Outcome,Hazard (recorded),Hazard Group,Hazard Source,Duplicate Status,Duplicate Of,Notes
E36,Existing / Committed,,East Micronesia Cable Project (EMCP),Installation of international subsea fiber optic cable for high-speed internet connectivity,Coastal & Marine,Nationwide,CenPac,Public-Private/Grant (Convenant),ADB; PPP partners,,15.1,2020,2020,,Completed,Funded,Remote Isolation (Communication),Coastal erosion & sea-level rise,Recorded in source,,,
E37,Existing / Committed,,New Primary Fuel Tank Farm,Construction of an expanded fuel storage facility to secure energy supply,Energy,Aiwo,Nauru Utilities Corporation (NUC – Energy),Loan (planned),TBD,,10.0,,,,,Unspecified,Fuel Disruption,Energy & fuel security,Recorded in source,,,
E38,Existing / Committed,,Relocate High Speed Gensets to Bauda Junction Station,Move critical diesel generators to new station for improved power distribution,Energy,Buada,Nauru Utilities Corporation (NUC – Energy),Corporate Capital Expenditure,NUC,,0.53,2019,2019,,Completed,Funded,NA,Energy & fuel security,Recorded in source,,,
E39,Existing / Committed,,Install New 3 MW Ruston Diesel Generator,Acquisition & commissioning of an additional diesel power generator,Energy,Aiwo,Nauru Utilities Corporation (NUC – Energy),Grant; Govt. Co-funding,ADB/EU; Nauru govt,,5.6,2021,2021,,Completed,Funded,NA,Energy & fuel security,Recorded in source,,,
E40,Existing / Committed,,6 MW Solar Photovoltaic (PV) + 5 MW Battery Storage,Utility-scale solar farm (6.5 MW) with battery backup to increase renewable generation,Energy,Aiwo,Nauru Utilities Corporation (NUC – Energy),Grant (Capital Investment),EU/ADB/Funded via PRIF,,23.4,2024,,,Ongoing,Funded,Extreme Climate/Fuel Price,Energy & fuel security,Recorded in source,,,
E41,Existing / Committed,,SCADA / PLC Upgrade (Stage 1–3),Install supervisory control & data acquisition (SCADA) systems for power grid control [nauru-data.sprep.org],Energy,Nationwide,Nauru Utilities Corporation (NUC – Energy),Corporate Capital Expenditure,NUC,,0.11,2017,,,Ongoing,Funded,NA,Energy & fuel security,Recorded in source,,,
E42,Existing / Committed,,C&D Waste Resource Recovery Facility (Inorganic),Build facility to process & recycle construction and demolition waste for reuse (minimizing landfill) ,Environment & Biodiversity,Aiwo,Department of Commerce & Environment (CIE),Grant (planned),Adaptation Fund,,1.4,,,,,Unspecified,Land Pollution,Land & marine environment,Recorded in source,,,
E43,Existing / Committed,,Organic Waste Composting Facility,Build a facility to convert organic waste into compost for soil improvement & waste reduction ,Environment & Biodiversity,Aiwo,Department of Commerce & Environment (CIE),Grant (planned),Adaptation Fund,,1.05,,,,Pipeline,Seeking funding,Land Pollution,Land & marine environment,Recorded in source,,,
E44,Existing / Committed,,RPC Phase 2 Power Grid Extension,Extend the power grid to former Regional Processing Centre (RPC 2),Energy,Meneng District,Nauru Utilities Corporation (NUC - Energy),Public Capital Expenditure,Nauru Govt Budget,,0.63,,,,Pipeline,Seeking funding,NA,Energy & fuel security,Recorded in source,,,
E45,Existing / Committed,,Develop Electric Mobility Roadmap,"When fully implemented, the roadmap actions can reduce fuel consumption and CO2 emissions in the road transport sector by 26.4% and 20.7% respectively. It includes an electric busnetwork, e-bike sharing servcies, and electric scooter share system.",Coastal & Marine,,,,,,12.4,2026,,,Proposed,Seeking funding,Mitigation,Coastal erosion & sea-level rise,Recorded in source,,,
E46,Existing / Committed,,Mooring Equipment (New Port Moorings),Installation of new mooring system to secure ships at port,Coastal & Marine,Aiwo,Department of Transport,Public Capital Expenditure,Public Capital Expenditure,,5,2017,2017,,Completed,Funded,Coastal/Storm/Wave,Coastal erosion & sea-level rise,Recorded in source,,,
E47,Existing / Committed,Capital Repairs to Sealed Road Program,Capital Repairs to Sealed Road Program (SRRP),Resealing and Repairs to Existing Roads,Housing & Community,,Department of Infrastructure Development (DoID),Public Capital Expenditure,Nauru Govt Budget,,14,2025,,,Planned,Seeking funding,Flooding,General climate resilience,Recorded in source,,,
E48,Existing / Committed,,Police Training College Upgrade,Upgrade Facilities at Nauru's Police Training College for improved law enforcement capacity,Disaster Risk Reduction,Yaren District,Nauru Police Force ,Grant,Australia (DFAT); Nauru Government,,0.35,2023,2023,,Completed,Funded,NA,Multi-hazard preparedness,Recorded in source,,,
E49,Existing / Committed,,Replacement Fire Trucks (2 units),Acquire 2 modern fire engines to upgrade emergency response capabilities,Disaster Risk Reduction,Nationwide,Department of Emergency Services,Public Capital Expenditure,Nauru Govt Budget,,1.4,,,,Pipeline,Seeking funding,Fire,Multi-hazard preparedness,Recorded in source,,,
E50,Existing / Committed,,Adapting tuna-dependent Pacific Island communities and economies to climate change,,Agriculture & Food,Multi-country,,Grant,TBD,,157,2026,,,Under implementation,Funded,,Food insecurity,Auto-tagged (sector/keywords),,,
E51,Existing / Committed,Sustainable and Climate-Resilient Connectivity Project,Sustainable and Climate Resilient Connectivity for Nauru,"Constructing a climate-resilient, year-round port for Nauru, preserving the vital sea-link for its 11,300 population deep in the Pacific.",Coastal & Marine,Nauru,"ADB, GCF",Grant,GCF; Cofinancing (ADB),,65.2,2026,,,Under implementation,Funded,,Coastal erosion & sea-level rise,Auto-tagged (sector/keywords),,,
E52,Existing / Committed,,Pacific Islands Renewable Energy Investment Program,Helping free SIDS from their diesel dependence.,Energy,Multi-country,,Grant,Grant,,29.2,2026,,,Under implementation,Funded,,Energy & fuel security,Auto-tagged (sector/keywords),,,
E53,Existing / Committed,,Improving Fiscal Sustainability Program,,Governance & Finance,Nauru,Department of Finance,Aid in-kind,ADB,,1.606,2025,,,Funded,Funded,,Enabling & capacity (cross-hazard),Auto-tagged (sector/keywords),,,
E54,Existing / Committed,,Nauru Sustainable Resilience Urban Development Project (NSRDUP),"The Nauru Sustainable Urban Development Project (NSUDP) is designed to improve Nauru's water 
supply, sanitation, and solid waste management systems. Approved in November 2024, the initiative 
carries a total funding of USD 37.5 m and is supported by the Project Readiness Financing (PRF) fund of 
USD 5 m, initiated in August 2021 during the project's design phase.
In FY 2025-26, the project will transition into the next phase, which includes hiring a Contract 
Supervising Consultant (CSC) and initiating a tender process to select a contractor for civil construction 
works under the USD 37.5 m urban development initiative. For this fiscal year, ADB anticipates 
disbursing USD 1.2 m in in-kind assistance through the PRF to support the existing project management 
team overseeing the design phase. Additionally, approximately USD 370,000 will be disbursed for initial 
implementation activities. Once contracts are finalized for the CSC and civil works contractor, 
disbursement levels for the NSUDP are projected to increase significantly.",Housing & Community,Nauru,DCCNR,Aid in-kind,ADB,,0.593,2025,,,Funded,Funded,,General climate resilience,Auto-tagged (sector/keywords),,,
E55,Existing / Committed,,Nauru Sustainable Resilience Urban Development Project (NSRDUP) – Project Readiness Financing (PRF),"Additionally, ADB will allocate an estimated USD 1 m (AUD 1.6 m) for technical assistance aimed at supporting the Improving Fiscal Sustainability Program. This initiative focuses on strengthening state_x0002_owned enterprises (SOEs), enhancing social protection frameworks, promoting gender equality, and advancing efforts within the climate change sector",Housing & Community,Nauru,DCCNR,Aid in-kind,ADB,,1.957,2025,,,Funded,Funded,,General climate resilience,Auto-tagged (sector/keywords),,,
E56,Existing / Committed,,Sustainable and Climate Resilient Connectivity Project,"The Sustainable and Climate Resilient Connectivity Project, also known as the Port Project, was 
approved by ADB in August 2018 with a budget of USD 62.28 m (AUD 91.56 m), including co-financing 
from the Australian Government and the Green Climate Fund. In 2022, ADB provided additional funding 
of USD 15 m (AUD 23 m) to cover the temporary accommodation expenses associated with the
relocation program for the Port Project.
For the fiscal year 2025-26, the remaining major works for this project include the installation of 
permanent protective measures for the Northern Container Yard revetment using specially designed 
rock bags, as well as achieving the target depth of the wharf basin. An estimated USD 8.4 m (AUD $13.5 
m) will be disbursed to cover construction costs and supervision fees for the project.",Coastal & Marine,Nauru,NMPA,Aid in-kind,ADB,,13.49,2025,,,Funded,Funded,,Coastal erosion & sea-level rise,Auto-tagged (sector/keywords),,,
E57,Existing / Committed,,Solar Power Development Project,"The Solar Power Development Project encompasses the installation of a 6MW solar energy farm, 
alongside institutional capacity development initiatives to support sustainable operations. This project, 
approved in September 2019, has a total budget of USD 22 m (AUD 32.34 m) and is intended to deliver 
positive impacts for Nauru households.
In the fiscal year 2025-26, following the commissioning of the solar grid into the Nauru Utility 
Corporation’s (NUC) national power system, an estimated USD 800,000 will be disbursed to the Joint 
Venture contractor and the Project Implementation Consultant for their services.",Energy,Nauru,NUC,Aid in-kind,ADB,,1.28,2025,,,Funded,Funded,,Energy & fuel security,Auto-tagged (sector/keywords),,,
E58,Existing / Committed,,Australia-Nauru Treaty Support,"Under the Nauru-Australia Treaty (NAT) signed in December 2024, Australia will provide $100 million 
over five years in direct budget support to further strengthen Nauru’s economic security and resilience. 
This support will assist to give the Government of Nauru fiscal certainty to invest in Nauru’s future, 
including by making deeper and long-term investments in education, health and social services to 
enhance the well-being of the Nauruan people. 
Through the Treaty, Australia will ensure Nauru does not risk being de-banked again. The 
Commonwealth Bank of Australia commenced banking operations in Nauru in August 2025. 
Australia and Nauru will expand and deepen our security cooperation, committing to consult on 
developments that threaten our sovereignty, peace or stability. Australia commits to maintaining its 
standing as Nauru’s primary security partner through $40 million in new investments that will support 
Nauru’s policing and security needs. This includes Australian support for police and broader national 
22
security, capital infrastructure, training, equipment, recruitment and retention.",Governance & Finance,Nauru,,Budget Support,Australia,,20,2025,,,Funded,Funded,,Enabling & capacity (cross-hazard),Auto-tagged (sector/keywords),,,
E59,Existing / Committed,,Education,"The $20m Nauru Education Program provides support to Nauru's education system and is aligned with Government of Nauru's policy frameworks and systems. The program funds advisers and education activities, as well as administration of the Australia Awards scholarships in Nauru. The program is continuing to 2027 under a managing contractor (TetraTech), with plans for a limited tender approach for the next phase from 2027. Nauru usually receives 10-20 places across the Australia Awards and Australia Awards Pacific annually depending on funding and applicants. Australia also supports direct-funding agreements (DFAs) to the Government of Nauru to fund education activities in Nauru including scholarships for Nauruans to study in Brisbane high schools, teacher salaries, licensing fees enabling Nauruan schools to offer the Queensland Certificate of Education, and partnership between the Nauru Department of Education and Queensland TAFE to deliver vocational education.",Education,Nauru,Department of Education/NUC,Aid in-kind,Australia,,5,2025,,,Funded,Funded,,Enabling & capacity (cross-hazard),Auto-tagged (sector/keywords),,,
E60,Existing / Committed,,Health,"Australia has partnered with Nauru to support health outcomes for over 25 years. Post are streamlining multiple health work streams and advisers into one consolidated program. The new Rana Tsimorum (2025-2035) investment is a whole-of-health program that works with the Government of Nauru to ensure that Nauru’s health system is better able to respond to health threats and effectively deliver inclusive quality health services and population-level interventions for the people of Nauru. This program is made up of three components: health system strengthening, health service delivery, and inclusive health. It will continue existing successful workstreams including visits by surgical teams and veterinarians, inline advisers and health information improvements; while also opening up new work streams in priority areas identified by Nauru1.",Health,Nauru,"Ministry of Health and Medical Services, Department of Public Health",Aid in-kind,Australia,,5.5,2025,,,Funded,Funded,,Climate-health risks,Auto-tagged (sector/keywords),,,
E61,Existing / Committed,,Infrastructure,"Australia’s infrastructure development program in Nauru is in transition from multiple separate infrastructure projects into one consolidated program, learning lessons to improve practice and local delivery. Current support includes projects to upgrade Nauru’s port and airport runway. Further projects will support Government of Nauru’s priorities for infrastructure as per the Nauru Sustainable Infrastructure Strategy with an investment design to be developed from 2025.",Housing & Community,Nauru,Department of Infrastructure,Aid in-kind,Australia,,8,2025,,,Funded,Funded,,General climate resilience,Auto-tagged (sector/keywords),,,
E62,Existing / Committed,,Governance,"Australia is assisting the Government of Nauru to strengthen and implement a robust public financial management system. The Nauru Accountable and Inclusive Governance Project (NAIG) strengthens 
governance intuitions, including in the justice sector, Parliament, the Nauru Electoral Commission and 
Civil Society Organisations. Australian Business Volunteers works with the Nauru Chamber of 
Commerce to develop Nauru’s private sector and regional business linkages. To support long-term 
economic resilience, Australia partners with Nauru and New Zealand to contribute annually to the 
Nauru Intergenerational Trust Fund. A planned community grants program will provide economic 
opportunities to local communities",Governance & Finance,Nauru,Department of Finance,Aid in-kind,Australia,,5.4,2025,,,Funded,Funded,,Enabling & capacity (cross-hazard),Auto-tagged (sector/keywords),,,
E63,Existing / Committed,,Program Support,"The Nauru Support Services (NSS) agreement with a managing contractor (Palladium) provides corporate and logistical support to the Australian High Commission and development program. It is currently funded from both administered ODA and departmental funding. It facilitates access to a range of services including property, maintenance, security, vehicles, and amenities.",Governance & Finance,Nauru,,Aid in-kind,Australia,,1,2025,,,Funded,Funded,,Enabling & capacity (cross-hazard),Auto-tagged (sector/keywords),,,
E64,Existing / Committed,,Direct Budget Support,"The People’s Republic of China will provide $30m in direct Budget Support to address government priorities. In addition, the PRC and Nauru are collaboratively developing several projects valued at $16.1m, in the following areas:",Governance & Finance,Nauru,Department of Finance,Aid in-kind,China,,30,2025,,,Funded,Funded,,Enabling & capacity (cross-hazard),Auto-tagged (sector/keywords),,,
E65,Existing / Committed,,"Micronesian Games Infrastructure, medical visits, scholarships","PRC is working with the Department of Sports on supporting the infrastructure needed for the Micronesian Games in 2026, including the National Stadium for track and field events, a sports hall, high_x0002_performance centre and all related equipment.",Social & Human Development,Nauru,"Department fo Sport, Ministry of Health and Medical Services, Department of Public Health",Aid in-kind,China,,16,2025,,,Funded,Funded,,Enabling & capacity (cross-hazard),Auto-tagged (sector/keywords),,,
E66,Existing / Committed,,Economic & Social Development Program (ESDP) - East Micronesia Undersea Cable,"The Economic & Social Development Program (ESDP) is a type of assistance intended to support Nauru 
by promoting its economic and social development efforts inclusive of poverty reduction. ESDP provides 
foreign currency for import of goods as Aid In-Kind. There is a total of four ESDP projects that are on_x0002_going:
• Provision of Port Equipment valued with a total grant funding of 600M JPY ($6.7m AUD)
• Provision of heavy machinery for the Nauru Rehabilitation Corporation - total grant funding of 
200M JPY ($2.2 m AUD)
• Provision of East Micronesia Undersea Cable for Nauru Fibre Corporation – total grant funding 
of 1.561B JPY ($17.4 m USD)
• Provision of Patrol Boat to Nauru Police Force – total grant funding of 440M JPY ($4.9m AUD)",Coastal & Marine,Nauru,"ICT, NFCC",Aid in-kind,Japan,,17.385,2025,,,Funded,Funded,,Coastal erosion & sea-level rise,Auto-tagged (sector/keywords),,,
E67,Existing / Committed,,Economic & Social Development Program (ESDP) - Heavy machinery for the Nauru Rehabilitation Corporation,"The Economic & Social Development Program (ESDP) is a type of assistance intended to support Nauru 
by promoting its economic and social development efforts inclusive of poverty reduction. ESDP provides 
foreign currency for import of goods as Aid In-Kind. There is a total of four ESDP projects that are on_x0002_going:
• Provision of Port Equipment valued with a total grant funding of 600M JPY ($6.7m AUD)
• Provision of heavy machinery for the Nauru Rehabilitation Corporation - total grant funding of 
200M JPY ($2.2 m AUD)
• Provision of East Micronesia Undersea Cable for Nauru Fibre Corporation – total grant funding 
of 1.561B JPY ($17.4 m USD)
• Provision of Patrol Boat to Nauru Police Force – total grant funding of 440M JPY ($4.9m AUD)",Governance & Finance,Nauru,NRC,Aid in-kind,Japan,,2.227,2025,,,Funded,Funded,,Enabling & capacity (cross-hazard),Auto-tagged (sector/keywords),,,
E68,Existing / Committed,,Economic & Social Development Program (ESDP) - Port Equipment,"The Economic & Social Development Program (ESDP) is a type of assistance intended to support Nauru 
by promoting its economic and social development efforts inclusive of poverty reduction. ESDP provides 
foreign currency for import of goods as Aid In-Kind. There is a total of four ESDP projects that are on_x0002_going:
• Provision of Port Equipment valued with a total grant funding of 600M JPY ($6.7m AUD)
• Provision of heavy machinery for the Nauru Rehabilitation Corporation - total grant funding of 
200M JPY ($2.2 m AUD)
• Provision of East Micronesia Undersea Cable for Nauru Fibre Corporation – total grant funding 
of 1.561B JPY ($17.4 m USD)
• Provision of Patrol Boat to Nauru Police Force – total grant funding of 440M JPY ($4.9m AUD)",Coastal & Marine,Nauru,NMPA,Aid in-kind,Japan,,6.681,2025,,,Funded,Funded,,Coastal erosion & sea-level rise,Auto-tagged (sector/keywords),,,
